skills,target_role
"mlops,api development,python,deep learning,tensorflow,model deployment,machine learning,kubernetes,pytorch,docker",Machine Learning Engineer
"communication,stakeholder management,tableau,critical thinking,data visualization,requirements gathering,power bi,excel,reporting",Business Analyst
"leadership,business analysis,tableau,excel,power bi,communication,requirements gathering",Business Analyst
"python,tensorflow,model deployment,mlops,kubernetes,docker,machine learning,pytorch,problem solving,api development,deep learning,communication",Machine Learning Engineer
"pandas,sql,statistics,reporting,python,power bi,excel,tableau",Data Analyst
"communication,reporting,excel,business analysis,requirements gathering,power bi,tableau,stakeholder management,leadership,data visualization,sql",Business Analyst
"pytorch,docker,deep learning,model deployment,kubernetes,python,tensorflow,mlops,api development",Machine Learning Engineer
"problem solving,model deployment,deep learning,python,tensorflow,mlops,machine learning,kubernetes,pytorch,critical thinking,api development",Machine Learning Engineer
"python,sql,hadoop,spark,airflow,azure,data warehouse,etl",Data Engineer
"statistics,pandas,data visualization,python,excel,power bi,tableau,reporting,dashboarding,sql",Data Analyst
"mlops,pytorch,kubernetes,teamwork,api development,python,deep learning",Machine Learning Engineer
"excel,business intelligence,power bi,dashboarding,reporting,sql,data visualization,tableau,kpi analysis,data modeling",BI Analyst
"data warehouse,bigquery,etl,python,analytics engineering,snowflake,dbt,sql,data modeling,problem solving,airflow",Analytics Engineer
"model deployment,time management,problem solving,deep learning,scikit-learn,machine learning,python,numpy,feature engineering",Data Scientist
"python,statistics,data visualization,model deployment,feature engineering,scikit-learn,numpy,time management,machine learning,deep learning,pandas",Data Scientist
"machine learning,leadership,deep learning,data visualization,numpy,pandas,time management,scikit-learn",Data Scientist
"scikit-learn,problem solving,data visualization,numpy,feature engineering,statistics,machine learning,pandas,deep learning",Data Scientist
"sql,data warehouse,teamwork,hadoop,airflow,spark,aws,etl",Data Engineer
"airflow,data warehouse,data modeling,leadership,dbt,critical thinking,sql,python,analytics engineering",Analytics Engineer
"reporting,tableau,data visualization,kpi analysis,power bi,data modeling,excel",BI Analyst
"tableau,pandas,power bi,reporting,data visualization,presentation,time management,sql,statistics,python,dashboarding",Data Analyst
"kubernetes,machine learning,time management,teamwork,deep learning,python,mlops,docker,pytorch",Machine Learning Engineer
"statistics,sql,power bi,excel,tableau,pandas,presentation,python,reporting,data visualization,dashboarding",Data Analyst
"tensorflow,python,pytorch,time management,model deployment,kubernetes,deep learning",Machine Learning Engineer
"hadoop,aws,spark,database design,airflow,etl",Data Engineer
"python,airflow,data warehouse,database design,hadoop,aws,spark",Data Engineer
"teamwork,presentation,machine learning,model deployment,numpy,data visualization,statistics,feature engineering,deep learning,pandas,python",Data Scientist
"reporting,dashboarding,power bi,excel,pandas,python,statistics,sql,data visualization,tableau",Data Analyst
"mlops,machine learning,tensorflow,kubernetes,model deployment,docker,python",Machine Learning Engineer
"analytics engineering,python,snowflake,dbt,airflow,data warehouse,bigquery",Analytics Engineer
"sql,python,dbt,snowflake,bigquery,time management,airflow",Analytics Engineer
"model deployment,communication,api development,problem solving,machine learning,python,docker,pytorch",Machine Learning Engineer
"teamwork,communication,sql,reporting,data visualization,power bi,stakeholder management,communication,business analysis",Business Analyst
"deep learning,feature engineering,communication,machine learning,scikit-learn,data visualization,python,numpy,leadership,statistics",Data Scientist
"python,bigquery,airflow,snowflake,dbt,sql,analytics engineering,data modeling,etl",Analytics Engineer
"bigquery,sql,snowflake,etl,data warehouse,analytics engineering,teamwork,data modeling,problem solving,airflow,dbt,python",Analytics Engineer
"reporting,excel,python,dashboarding,time management,tableau,problem solving,statistics,data visualization,sql",Data Analyst
"python,pandas,critical thinking,statistics,tableau,teamwork,sql,dashboarding,excel",Data Analyst
"python,machine learning,teamwork,statistics,feature engineering,model deployment,pandas,problem solving,data visualization",Data Scientist
"reporting,business analysis,communication,data visualization,stakeholder management,sql,requirements gathering,problem solving",Business Analyst
"kubernetes,tensorflow,critical thinking,docker,deep learning,pytorch,api development,mlops,machine learning,model deployment",Machine Learning Engineer
"analytics engineering,sql,dbt,python,etl,bigquery,data warehouse,data modeling,problem solving,airflow,snowflake",Analytics Engineer
"data visualization,pandas,machine learning,model deployment,python,feature engineering,numpy,scikit-learn,statistics",Data Scientist
"reporting,tableau,data visualization,communication,stakeholder management,requirements gathering,sql",Business Analyst
"requirements gathering,tableau,excel,communication,stakeholder management,power bi,business analysis,reporting,data visualization",Business Analyst
"statistics,reporting,excel,dashboarding,pandas,tableau,presentation,power bi,python,data visualization,communication",Data Analyst
