skills,target_role
"AWS SageMaker, CI/CD, Scikit-learn, TensorFlow, Docker, Kubernetes",Machine Learning Engineer
"Python, Machine Learning, Pandas, R",Data Scientist
"ETL, DAX, Power BI",BI Analyst
"SQL, Computer Vision, Mathematics, Deep Learning, Scikit-learn, R",Data Scientist
"Docker, Scikit-learn, Git, AWS SageMaker, Python",Machine Learning Engineer
"Data Warehousing, ETL, Tableau",BI Analyst
"ETL, Airflow, Python, Data Pipeline, BigQuery",Analytics Engineer
"Python, Data Visualization, Excel, Power BI",Data Analyst
"Data Visualization, Python, SQL, Statistics",Data Analyst
"ETL, Git, Data Modeling, SQL, Airflow, dbt",Analytics Engineer
"Data Visualization, Excel, Statistics, SQL, Google Analytics, Power BI",Data Analyst
"Power BI, DAX, Excel",BI Analyst
"Process Modeling, Agile, Requirement Gathering, Excel",Business Analyst
"Computer Vision, Scikit-learn, PyTorch",Data Scientist
"Power BI, Statistics, Python, Tableau, R, SQL",Data Analyst
"Excel, SQL, Stakeholder Management",Business Analyst
"Snowflake, Spark, AWS",Data Engineer
"Stakeholder Management, Agile, Requirement Gathering, Power BI, Tableau, Jira",Business Analyst
"SQL, Stakeholder Management, Requirement Gathering, Excel, Visio, Power BI",Business Analyst
"Statistics, Data Visualization, SQL",Data Analyst
"Python, TensorFlow, Git, CI/CD",Machine Learning Engineer
"ETL, SQL, Power BI, Tableau",BI Analyst
"TensorFlow, Scikit-learn, PyTorch, Python, Deep Learning",Data Scientist
"Data Visualization, Power BI, SQL, A/B Testing, Tableau",Data Analyst
"QlikSense, Power BI, ETL, Dashboarding, Excel",BI Analyst
"Data Pipeline, SQL, Snowflake, Airflow, Data Modeling",Analytics Engineer
"PyTorch, TensorFlow, Git, AWS SageMaker, Docker, Scikit-learn",Machine Learning Engineer
"CI/CD, TensorFlow, AWS SageMaker, Kubernetes, Python, MLOps",Machine Learning Engineer
"CI/CD, Git, TensorFlow, AWS SageMaker, Python",Machine Learning Engineer
"BigQuery, Data Modeling, Snowflake, dbt, Airflow",Analytics Engineer
"QlikSense, ETL, Tableau, DAX, Looker",BI Analyst
